week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-48,-0.011408643942913618,1.0,0.6872905678542517,1.0,1.0
2026-01,0.15208333333333332,1.0,0.2958333333333333,1.0,1.0
2026-03,0.20796813157841326,0.04215658091246009,1.1679857884962337,0.9899031935712065,2.0
2026-04,-0.14629629629629629,1.0,0.39814814814814814,1.0,1.0
2026-06,-1.4005758496662082,1.0,1.2980313663406529,1.0,1.0
2026-07,-0.5350833797090631,1.0,-0.14155834595020486,1.0,1.0
2026-08,-0.5768403233824559,1.0,-1.413010137521466,1.0,1.0
2026-11,-0.4251804251429682,1.1412307871882788,-0.6532229245545653,0.5158065372307157,3.0
2026-18,0.7334380558090827,1.0,-0.0402168219923926,1.0,1.0
2026-21,1.065819189896008,1.0,-0.31282293443060544,1.0,1.0
2026-24,1.5842559632676283,1.0,-0.4540164976290075,1.0,1.0
