day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-12-05,0.02201948270131392,1.0,0.6113560617729056,1.0,1.0
2026-01-06,0.15208333333333332,1.0,0.2958333333333333,1.0,1.0
2026-01-22,0.2899026672511004,1.0,1.1007196452188364,1.0,1.0
2026-01-25,0.17815892734357336,1.0,0.46801852760381407,1.0,1.0
2026-01-30,-0.14629629629629629,1.0,0.39814814814814814,1.0,1.0
2026-02-15,-1.4005758496662082,1.0,1.2980313663406529,1.0,1.0
2026-02-16,-0.5409482092313315,1.0,0.26781294006086204,1.0,1.0
2026-02-23,-0.5768403233824559,1.0,-1.413010137521466,1.0,1.0
2026-03-18,0.2818087308758146,0.17760621806947707,0.04707755937969456,0.30160346873355437,2.0
2026-03-19,-1.8320141366827347,1.0,0.07305611998237976,1.0,1.0
2026-05-06,0.7334380558090827,1.0,-0.0402168219923926,1.0,1.0
2026-05-31,1.065819189896008,1.0,-0.31282293443060544,1.0,1.0
2026-06-01,-0.23998907060834565,1.0,-2.285404483569541,1.0,1.0
2026-06-16,1.7374118048183682,1.0,0.13830459777517073,1.0,1.0
